happypanther42|51260558|2015-04-11 20:31:11.405323|COMMENTS
frosting3|55741092|2015-04-11 20:31:11.405323|COMMENTS
eliana10|48995670|2015-04-11 20:31:11.405323|COMMENTS
CNS2004|55738988|2015-04-11 20:31:11.405323|COMMENTS
happypanther42|53683874|2015-04-11 20:31:11.405323|COMMENTS
kickaj07|53680652|2015-04-11 20:31:11.405323|COMMENTS
julian10123|53676756|2015-04-11 20:31:11.405323|COMMENTS
happypanther42|48979066|2015-04-11 20:31:11.405323|COMMENTS
happypanther42|53674592|2015-04-11 20:31:11.405323|COMMENTS
happypanther42|51290490|2015-04-11 20:31:11.405323|COMMENTS
kd123cool|51332862|2015-04-11 20:31:11.405323|COMMENTS
kd123cool|51291394|2015-04-11 20:31:11.405323|COMMENTS
kd123cool|51359170|2015-04-11 20:31:11.405323|COMMENTS
kd123cool|51554172|2015-04-11 20:31:11.405323|COMMENTS
kd123cool|52504576|2015-04-11 20:31:11.405323|AWAITING
kd123cool|52507298|2015-04-11 20:31:11.405323|AWAITING
kd123cool|52926450|2015-04-11 20:31:11.405323|AWAITING
packercade|42562636|2015-04-11 20:31:11.405323|COMMENTS
OWENsnoopy123|51256414|2015-04-11 20:31:11.405323|COMMENTS
kd123cool|51256832|2015-04-11 20:31:11.405323|AWAITING
kd123cool|51261558|2015-04-11 20:31:11.405323|AWAITING
Coder_Hero_6|48981042|2015-04-11 20:31:11.405323|COMMENTS
Coder_Hero_6|50121618|2015-04-11 20:31:11.405323|COMMENTS
Coder_Hero_6|51256074|2015-04-11 20:31:11.405323|COMMENTS
julian10123|51249070|2015-04-11 20:31:11.405323|COMMENTS
packercade|42567976|2015-04-11 20:31:11.405323|COMMENTS
jbschafer|45314014|2015-04-11 20:31:11.405323|AWAITING
codecraftgo|53677904|2015-04-18 14:40:01.735167|COMMENTS
OWENsnoopy123|55747962|2015-05-05 13:00:01.330636|COMMENTS
OWENsnoopy123|55747390|2015-05-05 13:00:01.330636|COMMENTS
OWENsnoopy123|60128814|2015-05-05 13:00:01.330636|COMMENTS
OWENsnoopy123|60378106|2015-05-05 13:00:01.330636|AWAITING
OWENsnoopy123|60421572|2015-05-16 14:00:02.008058|COMMENTS
JamesS2007|64998678|2015-06-01 13:00:01.924907|AWAITING
JamesS2007|64995202|2015-06-01 13:00:01.924907|COMMENTS
JamesS2007|62656306|2015-06-01 13:00:01.924907|COMMENTS
JamesS2007|62658906|2015-06-01 13:00:01.924907|COMMENTS
JamesS2007|64993848|2015-06-01 13:00:01.924907|AWAITING
JamesS2007|62650230|2015-06-01 13:00:01.924907|AWAITING
JamesS2007|64391486|2015-06-01 13:00:01.924907|AWAITING
JamesS2007|64989042|2015-06-01 13:00:01.924907|AWAITING
roryrogers|75456352|2015-09-05 14:10:01.911547|AWAITING
