CNS2004|55930952|2015-04-11 20:31:14.463084|COMMENTS
kd123cool|55740864|2015-04-11 20:31:14.463084|COMMENTS
emilyturtle|43052852|2015-04-11 20:31:14.463084|COMMENTS
Coder_Hero_6|51256074|2015-04-11 20:31:14.463084|COMMENTS
franceslincoln|48976530|2015-04-11 20:31:14.463084|COMMENTS
uniscratch|23702658|2015-04-11 20:31:14.463084|AWAITING
jbschafer|45012392|2015-04-11 20:31:14.463084|AWAITING
julian10123|56588476|2015-05-03 13:00:08.266238|COMMENTS
et_ninjas|60127604|2015-05-04 13:00:07.746141|COMMENTS
jbschafer|64997882|2015-06-01 13:00:09.338924|AWAITING
JamesS2007|66066164|2015-06-12 13:00:14.384902|COMMENTS
